"Date","Price","Open","High","Low","Vol.","Change %"
"08/13/2025","3,683.46","3,668.66","3,688.63","3,666.55","61.35B","0.48%"
"08/12/2025","3,665.92","3,647.96","3,669.04","3,647.96","53.66B","0.50%"
"08/11/2025","3,647.55","3,637.05","3,656.85","3,629.63","55.14B","0.34%"
"08/08/2025","3,635.13","3,634.85","3,645.37","3,625.45","52.64B","-0.12%"
"08/07/2025","3,639.67","3,637.78","3,645.12","3,622.52","53.55B","0.16%"
"08/06/2025","3,633.99","3,615.81","3,634.31","3,613.99","51.25B","0.45%"
"08/05/2025","3,617.60","3,588.81","3,617.60","3,586.97","49.98B","0.96%"
"08/04/2025","3,583.31","3,547.16","3,583.31","3,547.16","45.86B","0.66%"
"08/01/2025","3,559.95","3,568.26","3,581.75","3,550.04","50.96B","-0.37%"
"07/31/2025","3,573.21","3,604.70","3,606.37","3,562.61","65.45B","-1.18%"
"07/30/2025","3,615.72","3,608.35","3,636.17","3,593.73","63.72B","0.17%"
"07/29/2025","3,609.71","3,595.81","3,611.35","3,585.94","61.06B","0.33%"
"07/28/2025","3,597.94","3,594.23","3,606.27","3,582.15","59.42B","0.12%"
"07/25/2025","3,593.66","3,604.45","3,610.03","3,586.22","69.72B","-0.33%"
"07/24/2025","3,605.73","3,578.91","3,608.73","3,577.11","77.33B","0.65%"
"07/23/2025","3,582.30","3,588.88","3,613.02","3,577.59","76.77B","0.01%"
"07/22/2025","3,581.86","3,561.63","3,584.72","3,547.25","71.62B","0.62%"
"07/21/2025","3,559.79","3,542.82","3,560.63","3,542.57","63.36B","0.72%"
"07/18/2025","3,534.48","3,519.48","3,536.01","3,518.23","49.35B","0.50%"
"07/17/2025","3,516.83","3,500.37","3,517.28","3,499.19","47.22B","0.37%"
"07/16/2025","3,503.78","3,502.90","3,511.81","3,489.14","47.09B","-0.03%"
"07/15/2025","3,505.00","3,519.81","3,527.04","3,483.38","57.21B","-0.42%"
"07/14/2025","3,519.65","3,513.25","3,532.12","3,513.25","57.21B","0.27%"
"07/11/2025","3,510.18","3,511.37","3,555.22","3,506.80","66.42B","0.01%"
"07/10/2025","3,509.68","3,491.50","3,526.59","3,491.50","56.42B","0.48%"
"07/09/2025","3,493.05","3,498.72","3,512.67","3,491.20","52.39B","-0.13%"
"07/08/2025","3,497.48","3,474.63","3,499.89","3,474.63","49.35B","0.70%"
"07/07/2025","3,473.13","3,467.98","3,474.80","3,462.79","43.66B","0.02%"
"07/04/2025","3,472.32","3,459.59","3,497.22","3,455.49","50.02B","0.32%"
"07/03/2025","3,461.15","3,456.15","3,463.62","3,446.97","43.85B","0.18%"
"07/02/2025","3,454.79","3,458.17","3,461.33","3,447.96","49.81B","-0.09%"
"07/01/2025","3,457.75","3,445.85","3,459.59","3,441.04","44.44B","0.39%"
"06/30/2025","3,444.43","3,423.47","3,447.46","3,420.11","45.73B","0.59%"
"06/27/2025","3,424.23","3,450.69","3,462.63","3,421.04","52.31B","-0.70%"
"06/26/2025","3,448.45","3,451.72","3,462.75","3,446.19","49.65B","-0.22%"
"06/25/2025","3,455.97","3,419.09","3,459.01","3,417.41","50.94B","1.04%"
"06/24/2025","3,420.57","3,380.08","3,423.78","3,380.08","46.10B","1.15%"
"06/23/2025","3,381.58","3,349.46","3,389.45","3,347.65","38.46B","0.65%"
"06/20/2025","3,359.90","3,358.91","3,370.80","3,357.71","35.02B","-0.07%"
"06/19/2025","3,362.11","3,384.29","3,386.92","3,353.94","41.53B","-0.79%"
"06/18/2025","3,388.81","3,386.14","3,391.71","3,369.99","37.87B","0.04%"
"06/17/2025","3,387.40","3,388.18","3,393.31","3,376.42","39.00B","-0.04%"
"06/16/2025","3,388.73","3,369.37","3,389.76","3,368.88","40.54B","0.35%"
"06/13/2025","3,377.00","3,397.48","3,401.55","3,370.59","51.01B","-0.75%"
"06/12/2025","3,402.66","3,397.97","3,408.20","3,388.87","40.95B","0.01%"
"06/11/2025","3,402.32","3,385.46","3,413.51","3,385.46","42.41B","0.52%"
"06/10/2025","3,384.82","3,402.01","3,406.45","3,365.67","48.16B","-0.44%"
"06/09/2025","3,399.77","3,388.78","3,402.05","3,383.07","42.73B","0.43%"
"06/06/2025","3,385.36","3,384.29","3,391.45","3,379.76","38.01B","0.04%"
"06/05/2025","3,384.10","3,378.22","3,387.76","3,371.15","40.63B","0.23%"
"06/04/2025","3,376.20","3,363.39","3,379.64","3,363.39","38.65B","0.42%"
"06/03/2025","3,361.98","3,340.07","3,367.00","3,340.07","39.81B","0.43%"
"05/30/2025","3,347.49","3,358.81","3,361.28","3,341.65","38.56B","-0.47%"
"05/29/2025","3,363.45","3,340.40","3,368.63","3,337.42","39.32B","0.70%"
"05/28/2025","3,339.93","3,341.85","3,348.23","3,336.73","34.16B","-0.02%"
"05/27/2025","3,340.69","3,346.50","3,351.57","3,332.49","34.41B","-0.18%"
"05/26/2025","3,346.84","3,346.56","3,362.31","3,336.36","34.76B","-0.05%"
"05/23/2025","3,348.37","3,376.87","3,389.47","3,348.37","40.02B","-0.94%"
"05/22/2025","3,380.19","3,381.86","3,390.59","3,376.23","39.42B","-0.22%"
"05/21/2025","3,387.57","3,380.21","3,394.75","3,380.21","41.25B","0.21%"
"05/20/2025","3,380.48","3,371.69","3,387.80","3,369.96","40.55B","0.38%"
"05/19/2025","3,367.58","3,365.88","3,373.60","3,356.65","40.31B","0.00%"
"05/16/2025","3,367.46","3,374.71","3,380.29","3,356.66","39.54B","-0.40%"
"05/15/2025","3,380.82","3,398.43","3,402.87","3,378.02","42.41B","-0.68%"
"05/14/2025","3,403.95","3,374.24","3,417.31","3,368.08","46.49B","0.86%"
"05/13/2025","3,374.87","3,386.23","3,386.23","3,370.25","42.62B","0.17%"
"05/12/2025","3,369.24","3,352.97","3,372.47","3,344.27","41.82B","0.82%"
"05/09/2025","3,342.00","3,350.41","3,351.22","3,335.13","39.89B","-0.30%"
"05/08/2025","3,352.00","3,331.21","3,359.73","3,327.90","42.84B","0.28%"
"05/07/2025","3,342.67","3,354.97","3,356.69","3,324.81","51.12B","0.80%"
"05/06/2025","3,316.11","3,295.25","3,316.45","3,286.99","47.44B","1.13%"
"04/30/2025","3,279.03","3,284.08","3,292.20","3,277.55","43.58B","-0.23%"
"04/29/2025","3,286.65","3,281.45","3,294.98","3,277.63","38.90B","-0.05%"
"04/28/2025","3,288.41","3,292.06","3,296.93","3,279.88","41.07B","-0.20%"
"04/25/2025","3,295.06","3,300.39","3,305.26","3,288.75","41.10B","-0.07%"
"04/24/2025","3,297.29","3,295.15","3,313.51","3,286.24","39.28B","0.03%"
"04/23/2025","3,296.36","3,308.15","3,312.19","3,293.06","41.16B","-0.10%"
"04/22/2025","3,299.76","3,289.17","3,311.15","3,288.33","40.32B","0.25%"
"04/21/2025","3,291.43","3,273.14","3,298.64","3,270.01","37.93B","0.45%"
"04/18/2025","3,276.73","3,270.35","3,283.09","3,262.39","35.88B","-0.11%"
"04/17/2025","3,280.34","3,261.72","3,285.92","3,258.15","38.20B","0.13%"
"04/16/2025","3,276.00","3,267.67","3,276.00","3,233.79","42.95B","0.26%"
"04/15/2025","3,267.66","3,260.69","3,268.98","3,246.34","39.67B","0.15%"
"04/14/2025","3,262.81","3,251.98","3,272.72","3,244.73","47.14B","0.76%"
"04/11/2025","3,238.23","3,219.51","3,249.85","3,211.35","47.55B","0.45%"
"04/10/2025","3,223.64","3,227.84","3,239.94","3,201.57","59.12B","1.16%"
"04/09/2025","3,186.81","3,110.01","3,186.81","3,070.08","68.48B","1.31%"
"04/08/2025","3,145.55","3,094.26","3,145.55","3,085.12","66.22B","1.58%"
"04/07/2025","3,096.58","3,193.10","3,217.78","3,040.69","66.22B","-7.34%"
"04/03/2025","3,342.01","3,319.61","3,358.43","3,319.61","40.05B","-0.24%"
"04/02/2025","3,350.13","3,344.17","3,361.13","3,343.12","35.01B","0.05%"
"04/01/2025","3,348.44","3,340.71","3,357.62","3,338.78","42.26B","0.38%"
"03/31/2025","3,335.75","3,343.34","3,361.74","3,317.74","47.26B","-0.46%"
"03/28/2025","3,351.31","3,372.04","3,375.05","3,346.08","41.23B","-0.67%"
"03/27/2025","3,373.75","3,362.71","3,394.03","3,351.17","41.48B","0.15%"
"03/26/2025","3,368.70","3,365.67","3,382.34","3,365.67","42.85B","-0.04%"
"03/25/2025","3,369.98","3,370.00","3,379.99","3,361.05","45.64B","0.00%"
"03/24/2025","3,370.03","3,364.83","3,373.69","3,340.24","51.33B","0.15%"
"03/21/2025","3,364.83","3,401.76","3,414.71","3,355.84","52.09B","-1.29%"
"03/20/2025","3,408.95","3,425.22","3,427.05","3,404.66","45.16B","-0.51%"
"03/19/2025","3,426.43","3,424.17","3,439.05","3,414.59","44.03B","-0.10%"
"03/18/2025","3,429.76","3,434.57","3,437.07","3,423.30","45.49B","0.11%"
"03/17/2025","3,426.13","3,430.81","3,436.35","3,422.46","51.57B","0.19%"
"03/14/2025","3,419.56","3,361.69","3,421.23","3,360.61","58.27B","1.81%"
"03/13/2025","3,358.73","3,371.09","3,377.12","3,341.12","51.90B","-0.39%"
"03/12/2025","3,371.92","3,385.69","3,392.41","3,370.22","50.22B","-0.23%"
"03/11/2025","3,379.83","3,335.44","3,379.83","3,334.83","44.85B","0.41%"
"03/10/2025","3,366.16","3,373.26","3,375.80","3,347.19","45.04B","-0.19%"
"03/07/2025","3,372.55","3,373.18","3,390.94","3,363.93","51.77B","-0.25%"
"03/06/2025","3,381.10","3,353.57","3,387.05","3,348.68","54.00B","1.17%"
"03/05/2025","3,341.96","3,324.70","3,342.71","3,314.15","46.10B","0.53%"
"03/04/2025","3,324.21","3,300.50","3,327.82","3,297.53","43.00B","0.22%"
"03/03/2025","3,316.93","3,328.40","3,349.02","3,304.59","50.24B","-0.12%"
"02/28/2025","3,320.90","3,374.66","3,383.19","3,318.72","56.83B","-1.98%"
"02/27/2025","3,388.06","3,378.45","3,388.78","3,353.57","57.58B","0.23%"
"02/26/2025","3,380.21","3,351.21","3,380.21","3,351.21","55.40B","1.02%"
"02/25/2025","3,346.04","3,345.65","3,369.56","3,337.84","52.76B","-0.80%"
"02/24/2025","3,373.03","3,374.08","3,384.81","3,355.87","59.82B","-0.18%"
"02/21/2025","3,379.11","3,356.69","3,381.06","3,339.03","60.82B","0.85%"
"02/20/2025","3,350.78","3,347.59","3,355.56","3,338.03","50.44B","-0.02%"
"02/19/2025","3,351.54","3,320.78","3,352.09","3,320.58","50.29B","0.81%"
"02/18/2025","3,324.49","3,348.98","3,366.01","3,314.30","56.27B","-0.93%"
"02/17/2025","3,355.83","3,355.42","3,357.12","3,333.19","58.95B","0.27%"
"02/14/2025","3,346.72","3,328.48","3,349.08","3,322.53","53.23B","0.43%"
"02/13/2025","3,332.48","3,343.23","3,359.18","3,332.48","56.86B","-0.42%"
"02/12/2025","3,346.39","3,312.26","3,346.39","3,310.39","51.34B","0.85%"
"02/11/2025","3,318.06","3,323.67","3,324.17","3,304.44","51.19B","-0.12%"
"02/10/2025","3,322.17","3,308.04","3,325.36","3,299.24","54.66B","0.56%"
"02/07/2025","3,303.67","3,269.23","3,324.43","3,262.51","60.06B","1.01%"
"02/06/2025","3,270.66","3,226.57","3,271.43","3,225.85","46.08B","1.27%"
"02/05/2025","3,229.49","3,270.16","3,271.02","3,220.28","40.64B","-0.65%"
"01/27/2025","3,250.60","3,256.61","3,274.39","3,250.60","38.75B","-0.06%"
"01/24/2025","3,252.63","3,222.88","3,260.01","3,221.71","39.87B","0.70%"
"01/23/2025","3,230.16","3,237.60","3,273.52","3,229.57","45.82B","0.51%"
"01/22/2025","3,213.62","3,235.49","3,235.50","3,203.38","36.48B","-0.89%"
"01/21/2025","3,242.62","3,256.83","3,258.61","3,229.07","38.46B","-0.05%"
"01/20/2025","3,244.38","3,256.15","3,268.26","3,238.12","40.33B","0.08%"
"01/17/2025","3,241.82","3,226.76","3,256.51","3,219.77","38.36B","0.18%"
"01/16/2025","3,236.03","3,239.03","3,265.28","3,217.10","43.07B","0.28%"
"01/15/2025","3,227.12","3,234.72","3,245.90","3,222.24","40.47B","-0.43%"
"01/14/2025","3,240.94","3,165.16","3,245.22","3,159.43","46.92B","2.54%"
"01/13/2025","3,160.75","3,148.83","3,172.70","3,140.98","37.27B","-0.25%"
"01/10/2025","3,168.52","3,211.71","3,220.11","3,168.52","40.37B","-1.33%"
"01/09/2025","3,211.39","3,220.72","3,228.97","3,205.91","38.29B","-0.58%"
"01/08/2025","3,230.17","3,218.86","3,246.29","3,175.72","47.29B","0.02%"
"01/07/2025","3,229.64","3,203.31","3,230.85","3,190.46","40.97B","0.71%"
"01/06/2025","3,206.92","3,209.78","3,219.49","3,185.46","43.10B","-0.14%"
"01/03/2025","3,211.43","3,267.08","3,273.57","3,205.78","51.76B","-1.57%"
"01/02/2025","3,262.56","3,347.94","3,351.72","3,242.09","56.14B","-2.66%"
"12/31/2024","3,351.76","3,406.97","3,413.45","3,351.76","50.27B","-1.63%"
"12/30/2024","3,407.33","3,395.40","3,412.84","3,394.96","45.53B","0.21%"
"12/27/2024","3,400.14","3,397.29","3,418.95","3,388.32","50.05B","0.06%"
"12/26/2024","3,398.08","3,389.34","3,401.10","3,380.25","42.22B","0.14%"
"12/25/2024","3,393.35","3,395.11","3,406.21","3,374.01","47.13B","-0.01%"
"12/24/2024","3,393.53","3,353.54","3,394.90","3,352.95","47.20B","1.26%"
"12/23/2024","3,351.26","3,367.90","3,384.99","3,348.28","55.67B","-0.50%"
"12/20/2024","3,368.07","3,364.48","3,390.62","3,362.82","49.10B","-0.06%"
"12/19/2024","3,370.03","3,355.90","3,377.53","3,346.47","51.39B","-0.36%"
"12/18/2024","3,382.21","3,371.30","3,396.46","3,371.30","51.25B","0.62%"
"12/17/2024","3,361.49","3,381.81","3,396.21","3,357.77","56.89B","-0.73%"
"12/16/2024","3,386.33","3,390.08","3,401.93","3,376.54","62.56B","-0.16%"
"12/13/2024","3,391.88","3,442.93","3,442.93","3,390.75","77.75B","-2.01%"
"12/12/2024","3,461.50","3,432.28","3,464.12","3,425.98","70.01B","0.85%"
"12/11/2024","3,432.49","3,416.09","3,437.81","3,416.09","68.15B","0.29%"
"12/10/2024","3,422.66","3,490.29","3,494.87","3,417.77","79.47B","0.59%"
"12/09/2024","3,402.53","3,402.63","3,426.65","3,385.96","69.49B","-0.05%"
"12/06/2024","3,404.08","3,370.94","3,418.26","3,364.21","69.82B","1.05%"
"12/05/2024","3,368.86","3,353.06","3,377.05","3,353.06","54.39B","0.12%"
"12/04/2024","3,364.65","3,376.57","3,388.02","3,352.94","62.10B","-0.42%"
"12/03/2024","3,378.81","3,366.29","3,386.62","3,348.37","66.30B","0.44%"
"12/02/2024","3,363.98","3,328.48","3,369.30","3,323.01","66.85B","1.13%"
"11/29/2024","3,326.46","3,295.21","3,357.50","3,293.69","58.02B","0.93%"
"11/28/2024","3,295.70","3,308.28","3,319.26","3,290.36","51.20B","-0.43%"
"11/27/2024","3,309.78","3,250.59","3,309.88","3,227.36","51.12B","1.53%"
"11/26/2024","3,259.76","3,256.86","3,285.33","3,252.87","47.22B","-0.12%"
"11/25/2024","3,263.76","3,274.88","3,285.46","3,232.92","53.89B","-0.11%"
"11/22/2024","3,267.19","3,368.04","3,372.00","3,267.19","63.07B","-3.06%"
"11/21/2024","3,370.40","3,362.94","3,378.52","3,348.86","53.03B","0.07%"
"11/20/2024","3,367.99","3,337.68","3,375.25","3,333.00","56.62B","0.66%"
"11/19/2024","3,346.01","3,324.88","3,346.76","3,284.13","62.50B","0.67%"
"11/18/2024","3,323.85","3,344.69","3,386.90","3,309.01","74.40B","-0.21%"
"11/15/2024","3,330.73","3,369.81","3,391.32","3,330.73","63.03B","-1.45%"
"11/14/2024","3,379.84","3,429.51","3,441.77","3,376.15","63.16B","-1.73%"
"11/13/2024","3,439.28","3,406.92","3,442.30","3,404.53","67.37B","0.51%"
"11/12/2024","3,421.97","3,469.89","3,489.42","3,402.04","81.79B","-1.39%"
"11/11/2024","3,470.07","3,432.37","3,471.12","3,416.73","81.80B","0.51%"
"11/08/2024","3,452.30","3,502.13","3,509.82","3,443.19","96.40B","-0.53%"
"11/07/2024","3,470.66","3,359.99","3,470.66","3,356.26","95.96B","2.57%"
"11/06/2024","3,383.81","3,395.22","3,421.00","3,367.08","89.59B","-0.09%"
"11/05/2024","3,386.99","3,306.81","3,386.99","3,302.05","82.11B","2.32%"
"11/04/2024","3,310.21","3,275.68","3,310.21","3,263.84","66.51B","1.17%"
"11/01/2024","3,272.01","3,275.58","3,305.32","3,258.73","85.21B","-0.24%"
"10/31/2024","3,279.82","3,267.98","3,295.74","3,252.39","78.46B","0.42%"
"10/30/2024","3,266.24","3,273.64","3,291.68","3,244.81","66.90B","-0.61%"
"10/29/2024","3,286.41","3,328.09","3,340.46","3,284.21","72.53B","-1.08%"
"10/28/2024","3,322.20","3,300.46","3,322.20","3,279.72","67.24B","0.68%"
"10/25/2024","3,299.70","3,280.76","3,319.36","3,276.13","59.57B","0.59%"
"10/24/2024","3,280.26","3,287.82","3,292.94","3,266.88","51.98B","-0.68%"
"10/23/2024","3,302.80","3,285.25","3,331.08","3,277.07","65.04B","0.52%"
"10/22/2024","3,285.87","3,263.82","3,294.96","3,255.14","57.49B","0.54%"
"10/21/2024","3,268.11","3,276.06","3,300.66","3,239.10","66.82B","0.20%"
"10/18/2024","3,261.56","3,165.97","3,313.98","3,152.82","69.30B","2.91%"
"10/17/2024","3,169.38","3,220.73","3,241.57","3,169.38","52.86B","-1.05%"
"10/16/2024","3,202.95","3,169.17","3,236.85","3,167.74","51.58B","0.05%"
"10/15/2024","3,201.29","3,265.75","3,285.21","3,201.29","56.61B","-2.53%"
"10/14/2024","3,284.32","3,241.43","3,294.62","3,203.90","63.15B","2.07%"
"10/11/2024","3,217.74","3,287.87","3,297.75","3,187.99","60.60B","-2.55%"
"10/10/2024","3,301.93","3,277.69","3,379.81","3,228.12","83.45B","1.32%"
"10/09/2024","3,258.86","3,427.22","3,437.16","3,249.16","99.28B","-6.62%"
"10/08/2024","3,489.78","3,674.40","3,674.40","3,372.19","131.35B","4.59%"
"09/30/2024","3,336.50","3,194.72","3,358.59","3,153.70","110.23B","8.06%"
"09/27/2024","3,087.53","3,049.10","3,087.53","3,017.45","49.23B","2.88%"
"09/26/2024","3,000.95","2,893.75","3,000.95","2,889.01","57.63B","3.61%"
"09/25/2024","2,896.31","2,901.42","2,952.45","2,889.05","56.83B","1.16%"
"09/24/2024","2,863.13","2,770.75","2,863.15","2,761.37","47.76B","4.15%"
"09/23/2024","2,748.92","2,735.39","2,760.48","2,731.36","25.76B","0.44%"
"09/20/2024","2,736.81","2,734.23","2,741.16","2,717.95","28.56B","0.03%"
"09/19/2024","2,736.02","2,723.21","2,747.74","2,697.78","31.52B","0.69%"
"09/18/2024","2,717.28","2,705.35","2,724.11","2,689.70","24.78B","0.49%"
"09/13/2024","2,704.09","2,718.99","2,728.78","2,703.37","25.13B","-0.48%"
"09/12/2024","2,717.12","2,722.14","2,734.68","2,716.56","24.01B","-0.17%"
"09/11/2024","2,721.80","2,732.73","2,732.73","2,710.62","24.23B","-0.82%"
"09/10/2024","2,744.19","2,737.88","2,750.12","2,718.63","26.22B","0.28%"
"09/09/2024","2,736.49","2,754.72","2,756.56","2,726.97","26.15B","-1.06%"
"09/06/2024","2,765.81","2,791.76","2,804.09","2,765.64","25.36B","-0.81%"
"09/05/2024","2,788.31","2,785.26","2,796.02","2,777.47","24.20B","0.14%"
"09/04/2024","2,784.28","2,786.50","2,800.61","2,781.94","25.75B","-0.67%"
"09/03/2024","2,802.98","2,809.17","2,814.90","2,794.91","27.57B","-0.29%"
"09/02/2024","2,811.03","2,832.35","2,839.28","2,810.37","34.07B","-1.10%"
"08/30/2024","2,842.21","2,819.65","2,867.96","2,817.01","39.75B","0.68%"
"08/29/2024","2,823.11","2,829.45","2,831.43","2,815.38","27.75B","-0.50%"
"08/28/2024","2,837.43","2,844.33","2,852.56","2,830.96","22.87B","-0.40%"
"08/27/2024","2,848.73","2,850.88","2,853.78","2,843.16","23.07B","-0.24%"
"08/26/2024","2,855.52","2,855.47","2,860.65","2,844.38","22.74B","0.04%"
"08/23/2024","2,854.37","2,844.77","2,860.73","2,839.34","22.67B","0.20%"
"08/22/2024","2,848.77","2,856.20","2,861.61","2,845.50","24.54B","-0.27%"
"08/21/2024","2,856.58","2,858.94","2,863.89","2,848.15","22.92B","-0.35%"
"08/20/2024","2,866.66","2,895.55","2,896.52","2,855.33","26.37B","-0.93%"
"08/19/2024","2,893.67","2,877.95","2,905.15","2,877.77","26.17B","0.49%"
"08/16/2024","2,879.43","2,877.94","2,888.68","2,873.06","26.37B","0.07%"
"08/15/2024","2,877.36","2,844.20","2,889.09","2,839.39","27.19B","0.94%"
"08/14/2024","2,850.65","2,866.24","2,866.24","2,850.40","21.79B","-0.60%"
"08/13/2024","2,867.95","2,860.41","2,867.95","2,845.31","23.17B","0.34%"
"08/12/2024","2,858.20","2,858.89","2,869.27","2,851.30","24.42B","-0.14%"
"08/09/2024","2,862.19","2,879.87","2,887.85","2,862.19","28.43B","-0.27%"
"08/08/2024","2,869.90","2,864.76","2,886.40","2,850.87","28.91B","0.00%"
"08/07/2024","2,869.83","2,864.01","2,886.94","2,857.72","26.31B","0.09%"
"08/06/2024","2,867.28","2,878.65","2,888.20","2,845.33","29.73B","0.23%"
"08/05/2024","2,860.70","2,889.36","2,919.03","2,860.70","35.55B","-1.54%"
"08/02/2024","2,905.34","2,913.02","2,931.26","2,902.72","31.22B","-0.92%"
"08/01/2024","2,932.39","2,940.12","2,947.88","2,928.83","34.66B","-0.22%"
"07/31/2024","2,938.75","2,877.54","2,940.59","2,876.30","41.27B","2.06%"
"07/30/2024","2,879.30","2,885.22","2,885.22","2,865.15","26.25B","-0.43%"
"07/29/2024","2,891.85","2,889.47","2,898.95","2,878.58","25.69B","0.03%"
